,AAPL UW Equity,AXP UN Equity,BA UN Equity,CAT UN Equity,CSCO UW Equity,CVX UN Equity,DIS UN Equity,DWDP UN Equity,GS UN Equity,HD UN Equity,IBM UN Equity,INTC UW Equity,JNJ UN Equity,JPM UN Equity,KO UN Equity,MCD UN Equity,MMM UN Equity,MRK UN Equity,MSFT UW Equity,NKE UN Equity,PFE UN Equity,PG UN Equity,TRV UN Equity,UNH UN Equity,UTX UN Equity,V UN Equity,VZ UN Equity,WBA UW Equity,WMT UN Equity,XOM UN Equity,INDU Index
,Price Earnings Ratio (P/E),Price Earnings Ratio (P/E),Price Earnings Ratio (P/E),Price Earnings Ratio (P/E),Price Earnings Ratio (P/E),Price Earnings Ratio (P/E),Price Earnings Ratio (P/E),Price Earnings Ratio (P/E),Price Earnings Ratio (P/E),Price Earnings Ratio (P/E),Price Earnings Ratio (P/E),Price Earnings Ratio (P/E),Price Earnings Ratio (P/E),Price Earnings Ratio (P/E),Price Earnings Ratio (P/E),Price Earnings Ratio (P/E),Price Earnings Ratio (P/E),Price Earnings Ratio (P/E),Price Earnings Ratio (P/E),Price Earnings Ratio (P/E),Price Earnings Ratio (P/E),Price Earnings Ratio (P/E),Price Earnings Ratio (P/E),Price Earnings Ratio (P/E),Price Earnings Ratio (P/E),Price Earnings Ratio (P/E),Price Earnings Ratio (P/E),Price Earnings Ratio (P/E),Price Earnings Ratio (P/E),Price Earnings Ratio (P/E),Price Earnings Ratio (P/E)
Dates,PE_RATIO,PE_RATIO,PE_RATIO,PE_RATIO,PE_RATIO,PE_RATIO,PE_RATIO,PE_RATIO,PE_RATIO,PE_RATIO,PE_RATIO,PE_RATIO,PE_RATIO,PE_RATIO,PE_RATIO,PE_RATIO,PE_RATIO,PE_RATIO,PE_RATIO,PE_RATIO,PE_RATIO,PE_RATIO,PE_RATIO,PE_RATIO,PE_RATIO,PE_RATIO,PE_RATIO,PE_RATIO,PE_RATIO,PE_RATIO,PE_RATIO
9/29/1989,#N/A N/A,#N/A N/A,16.9643,11.1722,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,11.609,17.0635,17.163,#N/A N/A,20.0373,#N/A N/A,#N/A N/A,#N/A N/A,21.0769,#N/A N/A,#N/A N/A,#N/A N/A,9.2271,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,13.0466,#N/A N/A
10/31/1989,#N/A N/A,#N/A N/A,16.7411,10.4853,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,10.6782,17.8571,17.3589,#N/A N/A,21.6045,#N/A N/A,#N/A N/A,#N/A N/A,25.1538,#N/A N/A,#N/A N/A,#N/A N/A,9.3849,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,13.4111,#N/A N/A
11/30/1989,#N/A N/A,#N/A N/A,17.8571,10.7372,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,10.3723,18.3862,17.7116,#N/A N/A,23.0597,#N/A N/A,#N/A N/A,#N/A N/A,26.7692,#N/A N/A,#N/A N/A,#N/A N/A,9.8186,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,13.7755,#N/A N/A
12/29/1989,#N/A N/A,#N/A N/A,20.1531,11.8112,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,14.5866,16.6667,18.2692,#N/A N/A,22.7876,#N/A N/A,#N/A N/A,#N/A N/A,23.8356,#N/A N/A,#N/A N/A,#N/A N/A,8.8295,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,18.2938,#N/A N/A
1/31/1990,#N/A N/A,#N/A N/A,20.1531,11.301,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,24.678,15.2241,19.0821,16.1923,#N/A N/A,20.3171,#N/A N/A,#N/A N/A,#N/A N/A,25.3425,#N/A N/A,#N/A N/A,#N/A N/A,7.9512,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,22.4342,17.1533,#N/A N/A
2/28/1990,#N/A N/A,#N/A N/A,21.7262,12.3469,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,27.9274,16.0549,19.4444,16.5,#N/A N/A,20.7965,#N/A N/A,#N/A N/A,#N/A N/A,27.0548,#N/A N/A,#N/A N/A,#N/A N/A,8.9497,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,23.2237,17.1989,#N/A N/A
3/30/1990,#N/A N/A,#N/A N/A,20.2113,13.644,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,32.1429,15.9295,18.3114,18.5353,#N/A N/A,21.3825,#N/A N/A,#N/A N/A,#N/A N/A,26.6226,#N/A N/A,#N/A N/A,#N/A N/A,9.0046,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,24.8684,19.765,#N/A N/A
4/30/1990,#N/A N/A,#N/A N/A,19.6127,13.6998,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,29.7771,16.3418,17.3246,18.7005,#N/A N/A,21.8481,#N/A N/A,#N/A N/A,#N/A N/A,27.8846,#N/A N/A,#N/A N/A,#N/A N/A,8.6056,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,24.8125,19.3376,#N/A N/A
5/31/1990,#N/A N/A,#N/A N/A,23.2394,14.9554,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,38.535,17.9723,20.7237,21.0948,#N/A N/A,25.788,#N/A N/A,#N/A N/A,#N/A N/A,35.0962,#N/A N/A,#N/A N/A,#N/A N/A,8.8526,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,28.1875,20.5128,#N/A N/A
6/29/1990,#N/A N/A,#N/A N/A,20.0342,14.7535,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,36.7038,17.254,18.1467,21.146,#N/A N/A,23.7936,#N/A N/A,#N/A N/A,#N/A N/A,32.618,#N/A N/A,#N/A N/A,19.4064,7.9861,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,31.25,15.4435,#N/A N/A
