,AAPL UW Equity,AXP UN Equity,BA UN Equity,CAT UN Equity,CSCO UW Equity,CVX UN Equity,DIS UN Equity,DWDP UN Equity,GS UN Equity,HD UN Equity,IBM UN Equity,INTC UW Equity,JNJ UN Equity,JPM UN Equity,KO UN Equity,MCD UN Equity,MMM UN Equity,MRK UN Equity,MSFT UW Equity,NKE UN Equity,PFE UN Equity,PG UN Equity,TRV UN Equity,UNH UN Equity,UTX UN Equity,V UN Equity,VZ UN Equity,WBA UW Equity,WMT UN Equity,XOM UN Equity,INDU Index
,Price Earnings Ratio (P/E),Price Earnings Ratio (P/E),Price Earnings Ratio (P/E),Price Earnings Ratio (P/E),Price Earnings Ratio (P/E),Price Earnings Ratio (P/E),Price Earnings Ratio (P/E),Price Earnings Ratio (P/E),Price Earnings Ratio (P/E),Price Earnings Ratio (P/E),Price Earnings Ratio (P/E),Price Earnings Ratio (P/E),Price Earnings Ratio (P/E),Price Earnings Ratio (P/E),Price Earnings Ratio (P/E),Price Earnings Ratio (P/E),Price Earnings Ratio (P/E),Price Earnings Ratio (P/E),Price Earnings Ratio (P/E),Price Earnings Ratio (P/E),Price Earnings Ratio (P/E),Price Earnings Ratio (P/E),Price Earnings Ratio (P/E),Price Earnings Ratio (P/E),Price Earnings Ratio (P/E),Price Earnings Ratio (P/E),Price Earnings Ratio (P/E),Price Earnings Ratio (P/E),Price Earnings Ratio (P/E),Price Earnings Ratio (P/E),Price Earnings Ratio (P/E)
Dates,PE_RATIO,PE_RATIO,PE_RATIO,PE_RATIO,PE_RATIO,PE_RATIO,PE_RATIO,PE_RATIO,PE_RATIO,PE_RATIO,PE_RATIO,PE_RATIO,PE_RATIO,PE_RATIO,PE_RATIO,PE_RATIO,PE_RATIO,PE_RATIO,PE_RATIO,PE_RATIO,PE_RATIO,PE_RATIO,PE_RATIO,PE_RATIO,PE_RATIO,PE_RATIO,PE_RATIO,PE_RATIO,PE_RATIO,PE_RATIO,PE_RATIO
8/31/1998,30.576,15.6599,206.25,9.2516,46.7857,18.75,28.4976,#N/A N/A,#N/A N/A,41.3978,18.7085,21.3776,27.49,#N/A N/A,43.7081,23.5557,17.8385,27.4393,63.1168,26.0808,55.0296,29.8828,39.951,14.8053,16.4541,#N/A N/A,15.3716,#N/A N/A,33.7645,21.5965,17.2193
9/30/1998,20.172,15.0663,30.6362,9.9692,52.9821,23.0308,27.4461,#N/A N/A,#N/A N/A,42.4731,20.5457,25.6737,30.5664,#N/A N/A,38.6745,24.2632,19.494,29.5554,62.8929,27.6786,60.5357,26.9724,43.3333,13.834,16.7995,#N/A N/A,16.4146,#N/A N/A,31.3938,24.3707,18.4354
10/30/1998,19.6429,17.1527,33.4821,10.0671,50.5348,22.3288,29.2081,#N/A N/A,#N/A N/A,43.9394,23.8262,26.7028,31.8359,#N/A N/A,45.3859,27.185,21.164,30.8528,60.5,32.8477,61.3214,33.7928,44.1667,17.2184,20.9341,#N/A N/A,18.0032,#N/A N/A,37.2975,24.7396,20.1596
11/30/1998,16.8981,19.4212,36.2723,11.0598,60.4612,22.911,34.9006,#N/A N/A,#N/A N/A,50.2525,26.4848,32.2231,31.7383,#N/A N/A,47.0218,28.4807,21.2467,35.3296,69.7143,35.3982,63.7857,33.3175,47,17.836,23.5577,#N/A N/A,18.8504,#N/A N/A,40.7096,26.0634,21.3901
12/31/1998,16.7777,19.3314,25.4883,11.2195,74.4485,26.081,38.2773,#N/A N/A,#N/A N/A,61.8056,27.782,33.4922,32.136,#N/A N/A,47.7679,30.4067,18.9667,32.5145,67.6524,35.896,65.6741,33.8194,74.7312,16.4361,23.2372,#N/A N/A,17.4656,#N/A N/A,44.0205,25.8392,20.0187
1/29/1999,16.8801,19.4496,27.002,10.564,83.2556,23.5063,42.1051,#N/A N/A,#N/A N/A,56.9577,27.5564,39.8129,32.567,#N/A N/A,46.7411,31.2748,20.7,32.3081,85.3659,40.4867,67.3429,33.6574,63.172,17.0802,25.5208,#N/A N/A,19.7723,#N/A N/A,43.4343,24.8896,20.4541
2/26/1999,14.2674,20.513,27.7832,11.1128,72.9944,24.1745,44.8961,#N/A N/A,#N/A N/A,56.3091,25.5639,33.8807,32.7107,#N/A N/A,45.6696,33.7302,19.75,35.9958,73.2317,40.625,69.0772,33.1481,69.6237,18.8216,26.469,#N/A N/A,18.9279,#N/A N/A,43.6237,23.5203,21.421
3/31/1999,13.5103,20.9477,22.5993,13.0504,81.7631,29.9788,42.6544,#N/A N/A,#N/A N/A,58.7266,24.7902,30.7171,35.8956,#N/A N/A,45.1287,35.126,19.0188,34.2637,79.6667,43.7027,72.644,35.3565,43.1424,19.4188,27.6403,#N/A N/A,16.6654,#N/A N/A,46.5593,28.3384,22.1357
4/30/1999,17.2932,23.2988,26.904,18.2884,100.9403,33.8136,43.5109,#N/A N/A,#N/A N/A,51.6704,29.257,31.6214,36.1111,#N/A N/A,50,32.8488,23.9247,30.0174,72.2778,47.1117,54.2748,33.8673,39.8438,20.7103,29.5281,#N/A N/A,18.5798,#N/A N/A,43.3962,33.3584,25.4413
5/31/1999,16.5648,21.6051,27.9801,15.5895,96.4602,31.4195,39.9136,#N/A N/A,#N/A N/A,49.0303,32.535,27.9393,34.3056,#N/A N/A,50.2298,29.845,23.0511,28.8424,71.7222,36.7093,50.4717,33.7094,49.3924,21.4945,25.3316,#N/A N/A,17.6528,#N/A N/A,40.2123,32.0783,27.1247
6/30/1999,16.25,22.4222,22.0937,19.3548,114.0487,34.8672,42.2262,#N/A N/A,#N/A N/A,55.5497,34.6051,28.1324,36.2963,#N/A N/A,49.2126,31.062,22.8182,30.5842,64.4196,38.1401,51.7689,31.3158,13.9529,22.2865,27.4665,#N/A N/A,20.489,#N/A N/A,45.5189,32.0021,26.7535
7/30/1999,19.5395,22.7022,22.6875,18.9113,104.4118,33.4249,37.8579,#N/A N/A,#N/A N/A,49.4672,33.6513,32.6241,32.9018,#N/A N/A,47.4902,31.344,23.0807,27.9753,61.2946,31.3253,44.8513,31.7544,13.6513,21.7082,25.5508,#N/A N/A,19.9797,#N/A N/A,37.0614,32.9357,25.843
8/31/1999,22.8947,23.693,22.6562,18.2661,113.9706,33.7912,38.0292,#N/A N/A,#N/A N/A,47.3838,33.3501,38.8593,36.5179,#N/A N/A,47.0965,31.109,24.8031,27.7686,66.1161,25.6944,49.8899,34.8246,14.0625,21.6415,25.3352,#N/A N/A,19.1962,#N/A N/A,38.8706,32.7282,26.2653
9/30/1999,23.6241,22.4464,18.8606,19.6461,115.2311,29.6823,42.5516,#N/A N/A,#N/A N/A,53.1978,31.4851,33.4741,32.8125,#N/A N/A,38.7601,31.3869,24.1363,25.8828,60.7802,31.5972,47.4945,31.9966,10.9562,16.4485,21.3354,#N/A N/A,20.7338,#N/A N/A,41.7215,30.9949,23.6951
10/29/1999,29.8974,25.6769,20.3816,19.8029,114.7287,30.5393,43.3739,#N/A N/A,#N/A N/A,53.9287,25.5188,34.8818,36.1207,#N/A N/A,47.5806,30.1095,23.8851,31.7732,62.1225,31.3542,49.5816,35.7935,12.749,17.462,21.7626,#N/A N/A,20.0022,#N/A N/A,47.2396,30.2296,24.4955
11/30/1999,36.5205,25.2288,18.0586,16.6219,138.2752,29.6196,45.8407,#N/A N/A,10.6259,56.4734,26.7348,34.5439,35.7759,#N/A N/A,54.2843,32.8467,24.0107,31.3489,61.1053,24.2105,45.4236,36.8601,12.0269,17.5465,20.3237,#N/A N/A,19.5017,#N/A N/A,48.0208,32.3724,24.8332
12/31/1999,36.385,26.8499,16.299,17.8849,166.0853,24.964,68.7169,#N/A N/A,13.3221,73.46,29.1105,35.4795,31.4611,14.1766,44.8077,28.7946,23.1931,25.9069,72.9688,26.0855,42.3098,36.1592,12.7604,16.7587,22.1843,#N/A N/A,13.0452,#N/A N/A,57.6042,27.7802,25.1751
1/31/2000,36.7167,26.6178,17.3775,16.1273,157.554,24.0814,85.3089,#N/A N/A,12.9597,56.4369,30.2392,42.6455,29.0752,14.6784,44.1827,26.5625,22.186,30.446,61.1719,23.9474,47.4457,33.2921,11.4347,16.7192,18.0674,#N/A N/A,13.1247,#N/A N/A,42.7734,28.7931,23.9147
2/29/2000,40.5654,21.6717,14.4608,13.3246,190.1978,21.5238,78.7015,#N/A N/A,13.7444,57.6204,27.4933,48.7069,24.2399,14.5301,37.2596,22.5446,20.8827,23.7822,55.8594,14.3624,41.9022,29.0429,8.4754,16.1278,17.3848,#N/A N/A,10.37,#N/A N/A,38.0371,25.9698,22.1393
3/31/2000,43.7303,23.2807,15.4217,14.1282,222.482,19.9649,110.3376,#N/A N/A,15.6204,64.2857,31.383,53.6331,22.6739,15.2826,35.5587,26.0851,20.1278,23.1491,63.244,20.0126,45.1389,19.0678,12.9753,17.1336,20.3831,#N/A N/A,13.045,#N/A N/A,43.3594,22.6859,22.9712
4/28/2000,39.9469,23.4566,16.1331,14.1282,152.3695,18.3855,115.5045,#N/A N/A,13.8559,52.8892,29.6875,51.5498,26.699,12.6315,35.6534,26.4757,19.6591,25.8972,41.5179,21.9381,52.0062,20.2119,13.5456,19.1631,20.0605,#N/A N/A,12.6449,#N/A N/A,41.6353,22.6494,22.4547
5/31/2000,27.0472,25.2346,15.8791,13.7028,125.1374,19.9649,112.5043,#N/A N/A,12.0594,46.0495,28.5406,50.686,28.9644,13.0916,40.4356,24.8698,19.4886,27.8068,37.2396,20.7527,55.0154,22.5424,14.2586,21.426,19.496,#N/A N/A,11.2843,#N/A N/A,43.3271,24.2894,21.245
6/30/2000,31.5922,23.5598,16.997,11.6353,139.6978,15.1181,91.1821,#N/A N/A,15.5533,47.1108,28.0211,45.3178,32.3413,12.1644,41.6214,22.5599,18.1319,27.264,46.5116,19.2703,57.1429,19.4068,13.435,22.9893,18.0046,#N/A N/A,10.9484,#N/A N/A,43.3271,19.625,20.0331
7/31/2000,30.6498,25.622,19.9187,11.6997,130.875,14.082,90.8884,#N/A N/A,16.2193,45.932,28.7564,45.2542,29.5437,13.1217,44.4293,21.5753,19.794,25.5072,40.5887,21.1762,51.3393,19.2797,17.4951,21.9336,17.8517,#N/A N/A,10.127,#N/A N/A,39.8098,20,19.5739
8/31/2000,36.7571,26.7237,21.7988,12.6228,137.25,15.0624,91.4758,#N/A N/A,20.0098,42.659,33.7596,50.7627,29.1865,14.7557,38.1341,20.4623,20.4396,24.8623,40.5887,18.5218,51.4881,20.9534,18.75,25.3351,19.094,#N/A N/A,9.3998,#N/A N/A,34.375,20.4063,20.8621
9/29/2000,15.1218,26.5445,24.0458,11.5527,110.5,12.373,65.0715,#N/A N/A,17.8027,47.0969,27.5061,25.8152,29.0828,12.5283,37.2466,20.397,19.5547,25.1614,28.2895,18.7559,49.9306,22.7119,19.1877,24.6875,20.2485,#N/A N/A,10.4619,#N/A N/A,34.8732,19.2678,19.1861
10/31/2000,11.4881,26.2168,25.8826,12.0019,94.5175,11.9194,60.9248,#N/A N/A,15.5957,37.069,24.0831,27.9503,28.5217,12.3418,40.7939,20.9459,20.735,30.4007,32.3057,18.6973,47.9861,24.2161,19.9416,27.3438,20.413,#N/A N/A,12.4867,#N/A N/A,32.4107,19.2813,19.6164
11/30/2000,9.6897,24.0047,26.3597,13.4567,83.9912,11.8832,49.2289,#N/A N/A,12.9331,33.7823,22.8606,23.6413,30.9598,10.0023,42.3142,21.5372,21.4324,31.3303,26.9117,19.4103,49.2361,25.3814,19.5039,29.3281,20.7054,#N/A N/A,12.1358,#N/A N/A,37.2768,19.0246,18.6211
12/29/2000,32.337,23.3444,22.8374,15.7184,67.1053,10.8115,37.0815,#N/A N/A,16.8406,39.3858,19.1011,18.2751,32.0313,15.2988,39.0625,23.1293,25.7479,30.6616,20.345,25.4155,45.098,26.1458,21.9002,28.6799,22.0857,#N/A N/A,17.4822,#N/A N/A,37.9464,18.5542,19.2255
1/31/2001,47.0109,20.014,20.2422,14.691,59.4246,10.6633,39.0197,#N/A N/A,17.9134,43.4234,25.1685,22.4924,28.3933,18.5152,37.1795,19.966,23.6432,26.9134,28.6413,25.0546,44.2647,23.9467,19.3629,26.3598,21.0618,#N/A N/A,19.165,#N/A N/A,40,17.9593,20.0164
2/28/2001,39.6739,18.6458,21.5225,13.8206,37.5992,10.968,39.6604,#N/A N/A,15.3172,38.2883,22.4494,17.3632,29.6738,15.7104,33.9936,20,24.0919,26.265,27.6739,19.2744,44.1176,23.5,18.6653,27.6776,21.8848,#N/A N/A,17.2642,#N/A N/A,35.2746,17.2977,19.2955
3/30/2001,169.7693,18.2585,16.5312,16.1382,25.0992,10.281,31.0107,#N/A N/A,14.207,38.8288,20.8182,18.1466,26.1104,16.8797,28.4025,18.5664,22.0594,24.1872,25.5314,20.0148,37.5688,20.3909,16.9423,26.1634,19.9185,#N/A N/A,16.9961,#N/A N/A,35.5634,15.7111,18.922
4/30/2001,196.077,18.7625,18.3383,18.2545,32.0377,11.3068,32.7998,#N/A N/A,15.2087,42.4324,24.9221,21.3172,28.8,18.0376,29.0503,19.2308,25.2675,24.2096,31.6297,20.6367,39.7248,19.5603,17.3462,28.9095,21.2174,#N/A N/A,18.9853,#N/A N/A,36.1818,17.1852,20.6275
5/31/2001,153.4616,18.621,18.6617,19.6945,36.3396,11.2471,34.2853,#N/A N/A,17.0736,44.4054,24.1991,18.6276,28.9403,18.4774,29.8113,21.1748,25.1762,23.2599,32.2973,19.0278,39.3486,20.9251,19.4615,25.3863,22.6386,#N/A N/A,18.9094,#N/A N/A,36.1888,17.2143,20.9676
6/29/2001,181.077,21.6328,15.5742,19.0304,34.3396,10.2608,32.0291,#N/A N/A,15.4039,41.9369,23.8901,29.25,28.6533,21.2381,28.125,19.3286,24.5376,20.0292,34.2406,19.4398,34.5259,20.7143,21.4788,25.3074,19.0781,#N/A N/A,18.096,#N/A N/A,34.1259,16.5574,21.2333
7/31/2001,181.077,22.4859,16.395,20.9506,46.878,10.3617,29.2131,#N/A N/A,14.93,44.1842,22.2431,29.81,31.0029,20.619,27.875,20.8143,24.0602,21.3047,31.0463,22.0139,35.5345,23.0584,18.5805,27.6311,19.1146,#N/A N/A,18.3159,#N/A N/A,38.8194,15.8314,21.5154
8/31/2001,181.077,20.3058,14.3417,19.0114,39.8293,10.2891,28.1931,#N/A N/A,16.6183,40.307,21.1416,27.96,30.2063,18.7619,30.4188,21.45,22.3871,20.4021,26.7592,23.3645,33.0259,24.0747,17.8093,27.8934,17.8125,#N/A N/A,16.9122,#N/A N/A,33.3681,15.221,20.3437
9/28/2001,181.077,17.1876,8.9812,17.2308,29.7073,10.4889,22.682,#N/A N/A,14.8029,33.6579,19.9784,29.6232,30.5234,17.8796,29.4654,18.7172,21.8667,20.4656,32.5924,21.8738,32.6016,23.0348,17.1822,25.4789,11.6834,#N/A N/A,18.1653,#N/A N/A,34.375,15.9192,19.4295
10/31/2001,181.077,17.4064,8.7399,17.2,60.4286,10.9592,22.6455,#N/A N/A,16.2158,32.1261,23.3918,35.3913,31.9063,18.5131,30.1132,17.9793,23.1956,19.6083,37.0382,23.0654,34.065,23.3481,17.1822,25.1916,13.5402,#N/A N/A,16.7217,#N/A N/A,35.2055,15.9394,19.9748
11/30/2001,181.077,19.4647,9.4102,18.2385,73,10.521,24.9356,#N/A N/A,20.8685,39.2101,25.0195,47.3333,32.0937,19.7487,29.5346,18.5103,25.4622,20.819,40.8981,24.3073,35.2114,24.5127,17.1822,27.3755,15.1256,#N/A N/A,15.7784,#N/A N/A,37.774,15.1111,21.6838
12/31/2001,38.4211,23.3143,10.7127,20.0962,64.6786,13.7228,26.2109,#N/A N/A,21.7723,42.8655,26.3529,60.4808,31.2698,21.8976,29.8418,18.2552,27.1124,17.7235,41.6667,25.7982,30.6538,24.273,17.1822,25.3656,16.1575,#N/A N/A,14.1331,#N/A N/A,39.4178,18.0674,23.4545
1/31/2002,43.3684,23.4188,11.3122,19.3385,104.2105,12.8331,26.641,#N/A N/A,20.4178,42.0924,23.5054,67.3846,30.4286,20.512,27.6899,18.7448,25.4128,17.838,40.0692,27.4817,32.0538,25.0552,17.1822,26.6487,17.1825,#N/A N/A,13.8025,#N/A N/A,39.9867,17.9524,23.1944
2/28/2002,38.0702,23.8108,12.6961,21.35,75.1053,12.9311,29.0951,#N/A N/A,21.0781,38.7597,21.3769,54.9038,32.2222,17.6205,29.9937,18,27.0482,18.4861,36.6918,25.7031,31.5077,26.0092,17.1822,25.9821,18.2375,#N/A N/A,13.9365,#N/A N/A,41.34,18.9868,23.5915
3/29/2002,41.5263,25.6102,13.8649,24.089,89.1053,17.7348,33.0046,#N/A N/A,23.5026,37.6822,24.0741,59.6275,32.803,23.3007,33.2866,19.4056,25.9616,17.3557,32.5319,26.2052,29.2206,26.5752,17.1822,24.8925,18.3663,#N/A N/A,13.5941,#N/A N/A,40.86,24.8301,24.4685
4/30/2002,42.5789,25.6414,12.8161,23.1441,54.2593,17.0354,33.1476,#N/A N/A,20.5078,35.9457,19.3889,56.098,32.2525,22.9412,35.3567,19.8601,28.3973,16.3791,28.1896,23.2882,26.7279,26.6254,17.1822,28.6026,17.3688,#N/A N/A,11.9443,#N/A N/A,36.0387,22.7567,23.3388
5/31/2002,40.8772,26.5793,12.2557,22.1483,58.4444,17.1415,32.7615,#N/A N/A,19.6484,30.2101,18.6227,54.1569,30.9848,23.4967,35.3885,20.9371,28.3138,17.2111,27.4614,21.8496,25.4412,26.4159,17.1822,29.5765,17.047,#N/A N/A,12.8049,#N/A N/A,34.9032,22.6207,23.2556
6/28/2002,36.1633,17.9619,13.0435,22.662,51.6667,20.7746,29.6011,#N/A N/A,19.1016,26.6159,18.0451,33.2182,25.2464,19.0562,34.1463,19.4863,26.3383,15.3127,29.5058,21.8089,25.1799,24.8056,17.1822,26.9265,16.5207,#N/A N/A,11.9562,#N/A N/A,35.4903,27.0064,20.9051
7/31/2002,31.1429,17.4377,12.0348,20.6944,34.7105,17.6056,27.7687,#N/A N/A,19.0495,22.3768,17.6441,34.1636,25.6039,14.0225,30.4512,16.9521,26.9443,14.9982,25.8809,20.0366,23.2734,24.7194,17.1822,25.7824,16.91,#N/A N/A,9.827,#N/A N/A,30.1718,24.2609,19.7098
8/30/2002,30.102,17.8334,10.7449,20.2037,36.3684,17.9883,24.558,#N/A N/A,19.471,22.1007,18.8922,30.3091,26.2367,14.8315,31.0976,16.274,26.7559,15.2764,26.4743,17.1349,23.7986,24.625,17.1822,25.9853,14.4501,#N/A N/A,9.2315,#N/A N/A,32.8098,23.3963,19.4748
9/30/2002,43.9394,14.8333,11.264,17.0734,27.5789,38.4722,24.8979,#N/A N/A,16.6322,17.5168,14.5611,24.8036,25.271,13.2797,28.0468,12.7971,22.2162,14.092,24.1141,17.1349,20.1528,23.7713,17.1822,22.8924,13.45,#N/A N/A,8.1174,#N/A N/A,30.2086,21.335,17.1009
10/31/2002,48.697,17.3024,9.8185,18.7385,23.7872,37.5722,27.4633,#N/A N/A,18.0353,19.3826,19.6858,30.8929,27.4533,14.5105,27.1813,13.1232,25.6444,16.7218,29.4783,18.7262,22.0625,23.5239,17.1822,23.8714,14.6833,#N/A N/A,11.1703,#N/A N/A,31.5,22.5121,18.879
11/29/2002,46.9697,18.5203,11.2211,22.8899,31.7447,37.2389,32.5941,#N/A N/A,19.6194,16.9359,21.7207,37.2857,26.6449,17.6014,26.6901,13.4058,26.2323,18.3156,31.8765,17.1571,21.9028,22.3404,17.1822,21.378,14.8738,#N/A N/A,12.3891,#N/A N/A,31.8588,23.2746,19.649
12/31/2002,57.32,15.3948,11.6162,19.8783,27.8723,30.3562,36.5754,#N/A N/A,16.9403,15.359,21.1172,33.8478,24.1937,14.3713,25.4767,12.4651,23.4411,17.5095,34.608,17.0383,19.3481,22.2642,29.8684,19.6471,14.0773,#N/A N/A,18.98,#N/A N/A,29.7118,20.7976,17.6237
1/31/2003,57.44,15.4732,11.1232,19.1217,25.2264,29.4064,39.2439,#N/A N/A,16.9403,13.3974,21.3161,34.0435,24.1486,13.976,23.5233,11.0388,23.6787,17.1321,31.7697,17.0651,19.2152,22.1684,28.6316,20.6824,14.45,#N/A N/A,18.7498,#N/A N/A,27.0056,20.3274,16.9984
2/28/2003,60.04,14.624,9.7042,20.4348,26.3774,29.3014,38.2572,#N/A N/A,16.0393,15.0321,21.2398,37.5,23.6261,13.5808,23.3837,10.5504,23.8346,16.3156,31.7296,17.6985,18.8734,21.2073,27.0702,19.5059,13.3136,#N/A N/A,16.9375,#N/A N/A,27.1525,20.25,16.4586
3/31/2003,78.5556,13.9845,9.9841,20.1639,24.4906,19.585,36.5081,#N/A N/A,15.7229,15.6154,21.0268,36.1778,24.944,13.2458,23.5349,11.0466,23.8587,16.4593,36.9618,19.626,19.354,22.3744,27.6522,19.842,12.84,#N/A N/A,17.6032,#N/A N/A,29.3955,16.6985,16.0159
4/30/2003,78.8889,15.933,10.8685,21.5574,26.386,19.0276,40.0259,#N/A N/A,17.5289,18.0321,22.7614,40.8889,24.2931,16.3966,23.4884,13.0634,23.1266,17.4809,39.0382,20.4313,19.0994,22.5754,29.8609,19.9416,13.7356,#N/A N/A,18.6141,#N/A N/A,30.9451,16.818,16.9747
5/30/2003,99.8333,17.5322,12.2191,21.373,28.5614,21.4905,42.1495,#N/A N/A,17.6026,20.434,23.6032,46.3111,23.4267,18.3575,26.4942,14.3086,23.2055,16.6997,37.5725,20.213,19.2671,23.0704,31.8087,20.7662,15.1667,#N/A N/A,18.8482,#N/A N/A,28.9066,17.3913,17.7082
6/30/2003,136.5714,16.8656,15.5294,18.4917,29.2807,19.3514,40.5988,#N/A N/A,18.0886,20.8302,21.3178,41.568,21.3636,16.0469,26.52,17.114,22.8283,17.853,31.2317,19.3105,21.6139,21.9115,11.9314,19.9801,15.6358,#N/A N/A,20.5586,#N/A N/A,29.489,15.3922,17.9573
7/31/2003,150.3571,17.8176,14.9864,22.4153,32.5333,19.3273,45.0595,#N/A N/A,18.8207,19.6226,20.9948,49.9,21.4008,16.4554,25.6971,17.851,24.8142,16.2991,32.1951,18.6787,21.1139,21.5897,11.4935,20.7117,16.6071,#N/A N/A,18.1666,#N/A N/A,29.582,15.2508,18.4124
8/29/2003,161.6429,18.1726,16.9186,23.8638,31.9167,19.531,42.1405,#N/A N/A,17.8768,19.4909,21.1912,57.24,20.4876,16.0657,24.8686,17.3933,25.2159,15.676,32.3415,19.381,18.9367,21.4472,11.3595,19.6541,17.7152,#N/A N/A,18.4063,#N/A N/A,31.3069,16.1595,18.7196
9/30/2003,103.15,17.6086,15.6045,21.9936,32.5667,11.1449,35.539,#N/A N/A,16.9495,19.303,22.6487,42.9844,19.4961,12.4836,24.2712,17.5803,23.2951,15.5276,27.1122,20.6871,18.3012,22.0475,10.5199,18.4661,16.8366,#N/A N/A,17.949,#N/A N/A,29.5503,14.9816,17.2787
10/31/2003,114.45,18.3393,17.4955,23.4121,33.3016,11.5895,39.8911,#N/A N/A,18.9697,21.1829,22.9436,51.6406,19.815,13.0545,26.2147,18.6781,26.6003,13.5736,25.5122,21.7347,19.0361,23.3468,10.8324,18.6716,18.451,#N/A N/A,18.5909,#N/A N/A,30.2308,14.9734,18.216
11/28/2003,104.6,17.8626,17.45,24.2971,35.9683,11.7142,40.684,#N/A N/A,16.3959,21.0057,23.2154,52.2344,19.4055,12.8582,26.2712,19.1412,26.6577,12.454,25.0732,22.1947,20.2108,22.8599,10.5398,19.7798,18.671,#N/A N/A,18.1316,#N/A N/A,28.5333,14.8056,18.1563
12/31/2003,64.7576,18.2762,20.8614,25.7826,38.5556,12.4177,27.4046,#N/A N/A,16.8481,20.28,21.3057,37.4419,19.4943,11.1982,27.4324,20.8831,27.5178,14.8077,21.5156,22.5941,20.6608,22.8037,12.3906,19.6887,20.2068,#N/A N/A,11.9558,#N/A N/A,27.2051,16.0721,18.9145
1/30/2004,68.3636,19.6442,20.6683,24.264,38.8485,12.412,28.1916,#N/A N/A,16.9881,18.9679,22.8115,35.5814,20.1585,11.8567,26.6162,21.6484,25.5955,15.2564,21.6016,22.9901,21.4211,23.0776,13.1656,20.6024,20.371,#N/A N/A,12.5625,#N/A N/A,26.2683,15.9898,18.9003
2/27/2004,72.5152,20.2429,21.4703,23.5248,35,12.6994,31.1634,#N/A N/A,14.9745,19.4171,22.1839,33.9884,20.3434,12.5061,27.0054,23.8015,25.2492,15.4103,20.7031,22.197,21.4327,23.4041,13.3563,20.9814,19.6397,#N/A N/A,13.0635,#N/A N/A,29.0537,16.5308,19.073
3/31/2004,62.907,18.6011,27.9388,19.7182,35.6364,11.9288,25.9555,#N/A N/A,14.7595,19.9786,21.1126,27.7551,18.1792,11.9516,25.533,21.9769,24.9604,14.5362,18.3603,23.597,19.2582,23.255,10.6979,20.2006,18.0544,#N/A N/A,12.997,#N/A N/A,29.1171,15.5885,18.2785
4/30/2004,59.8372,17.5608,29.0408,19.384,29.8143,12.4343,23.9198,#N/A N/A,13.6846,17.8629,20.269,26.2551,19.3656,10.7123,25.6701,20.9462,26.3659,15.4605,19.0956,21.803,19.6484,23.4479,10.8743,19.2727,18.046,#N/A N/A,13.4238,#N/A N/A,26.6355,15.9483,18.0438
5/31/2004,65.2558,18.1886,31.1565,18.7905,31.6429,12.2849,24.3768,#N/A N/A,11.7095,18.2335,20.3655,29.1327,19.9677,10.4957,26.066,20.3077,25.7805,15.5592,19.375,20.2707,19.4176,23.9069,10.6096,20.4545,17.7008,#N/A N/A,12.2999,#N/A N/A,26.0421,16.2106,17.9543
6/30/2004,59.1636,17.7768,38.1269,18.0136,33.8571,10.6355,23.5057,#N/A N/A,11.7406,17.868,20.1256,24.8649,19.1409,11.2703,24.5049,18.5714,25.9395,15.7807,22.848,21.5812,17.2261,23.4151,17.859,18.2551,18.296,#N/A N/A,13.1331,#N/A N/A,24.6542,15.1673,17.4407
7/30/2004,58.8,17.3859,37.8731,16.6644,27.8133,10.8096,21.2925,#N/A N/A,10.9963,15.981,19.879,21.964,18.9931,10.8517,21.2913,19.6429,23.7349,15.0664,22.768,20.7151,16.0603,22.4301,16.3304,18.4457,18.7,#N/A N/A,13.9859,#N/A N/A,23.6652,15.8128,16.8964
8/31/2004,62.7091,17.3063,38.9701,16.4853,25.0133,11.0186,20.7024,#N/A N/A,10.622,17.327,19.3356,19.1802,19.9656,11.5058,21.7039,19.3,23.7349,14.9402,21.84,20.1364,16.4171,24.0731,15.2819,19.393,18.782,#N/A N/A,14.2435,#N/A N/A,23.5134,15.7445,16.9535
9/30/2004,52.3649,18.0905,38.812,15.8366,24.1333,11.2163,20.413,#N/A N/A,11.0474,18.5782,19.5308,17.2931,18.7767,12.1871,19.4417,17.7405,22.1524,10.8911,21.9444,21.0695,14.7826,22.5971,18.4693,20.038,17.8206,#N/A N/A,14.4074,#N/A N/A,23.75,14.4787,16.4735
10/29/2004,70.9865,18.6565,37.5188,15.8543,24.0606,11.095,22.83,#N/A N/A,11.6564,18.5882,20.4442,19.1897,19.46,11.8405,19.7379,18.4494,21.4875,10.3333,22.2143,21.7406,13.9855,21.3695,18.9721,19.6739,17.7137,#N/A N/A,14.3049,#N/A N/A,23.2414,14.7454,16.34
11/30/2004,90.6081,19.5846,40.2782,18.0217,23.4344,11.417,24.3327,#N/A N/A,11.7576,18.8914,21.467,19.2672,20.1067,11.5491,19.0825,19.4557,22.0471,9.2475,21.2778,20.9037,13.4155,22.3299,20.3799,22.5136,18.6221,#N/A N/A,15.0842,#N/A N/A,22.4397,15.3535,16.9571
12/31/2004,50.3125,20.4744,38.3481,17.2584,24.1733,9.3114,25.1655,#N/A N/A,11.6768,19.3394,21.8581,20.1638,20.4581,12.9601,20.2087,16.5258,21.8853,10.4013,21.0315,22.3926,12.684,22.3448,21.8059,22.3426,19.21,#N/A N/A,14.5244,#N/A N/A,22.7672,12.9118,17.5865
